,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
6,7,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47
7,8,0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53
9,10,0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39
11,12,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46
12,13,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33
17,18,0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7
26,27,0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47
28,29,0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4
29,30,0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42
31,32,0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42
33,34,0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4
40,41,0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75
52,53,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72
53,54,0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41
54,55,0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31
57,58,0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67
61,62,0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66
66,67,0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73
87,88,0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44
89,90,0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73
96,97,0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4
102,103,0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59
109,110,0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35
110,111,0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67
111,112,0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62
113,114,0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59
114,115,0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6
118,119,0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49
121,122,0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62
126,127,0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7
128,129,0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93
129,130,0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95
135,136,0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37
141,142,0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5
143,144,0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5
152,153,0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52
